"id","garbage_name","type"
"1","球衣","1"
"2","避孕套","2"
"3","矿泉水瓶","1"
"4","瓜子壳","3"
"5","花生壳","3"
"6","牛奶盒","1"
"7","电视","1"
"8","电脑","1"
"9","笔记本电脑","1"
"10","笔记本","1"
"11","冰箱","1"
"12","空调","1"
"13","风扇","1"
"17","荧光棒","2"
"19","棉签","2"
"20","牙签","2"
"21","西瓜皮","3"
"22","青瓜","3"
"23","黄瓜","3"
"25","风油精","4"
"26","A4纸","1"
"27","报纸","1"
"28","易拉罐","1"
"29","跑步鞋","1"
"30","毛衣","1"
"31","纸巾","2"
"32","湿纸巾","2"
"33","尿不湿","2"
"34","书包","1"
"35","鼠标","1"
"36","键盘","1"
"37","小龙虾","3"
"38","小龙虾壳","3"
"39","大闸蟹壳","3"
"40","大闸蟹","3"
"41","番薯","3"
"42","土豆","3"
"43","西红柿","3"
"44","鸡蛋","3"
"45","爆米花","3"
"46","蛋挞","3"
"47","轮胎","1"
"48","自行车","1"
"49","棉袄","1"
"50","T恤","1"
"51","短袖","1"
"52","长袖","1"
"53","衣服","1"
"54","鞋子","1"
"55","手机","1"
"56","手机壳","2"
"57","玻璃","1"
"73","口罩","2"
"85","金属","1"
"86","办公用纸","1"
"87","打印机","1"
"88","复印件","1"
"89","传真机","1"
"90","扫描仪","1"
"91","投影仪","1"
"92","电线","1"
"93","插座","1"
"94","排插","1"
"95","宣传单","1"
"96","书本","1"
"97","包装盒","1"
"98","PET塑料瓶","1"
"99","玻璃瓶","1"
"102","碎玻璃","1"
"104","烟头","2"
"105","烟蒂","2"
"106","报废车辆","1"
"107","毛发","2"
"108","胶带","2"
"109","胶水","2"
"110","干燥剂","2"
"111","打火机","4"
"112","眼镜","2"
"113","猫砂","2"
"114","榴莲壳","2"
"115","核桃壳","2"
"116","玉米衣","2"
"117","甘蔗皮","2"
"118","贝壳","2"
"119","大骨头","2"
"120","菠萝蜜核","2"
"121","一次性餐具","2"
"122","镜子","2"
"123","竹篮","2"
"124","竹筷","2"
"125","笔","2"
"126","伞","2"
"127","花盆","2"
"128","水果","3"
"129","西瓜","3"
"130","栗子","3"
"131","荔枝","3"
"132","梨","3"
"133","荔枝核","3"
"134","耳机","1"
"135","剩菜","3"
"136","剩饭","3"
"137","果皮","3"
"138","蛋壳","3"
"139","牙膏","2"
"140","牙刷","2"
"141","零食","3"
"142","泡沫","1"
"143","塑料袋","2"
"144","塑料瓶","1"
"145","快递盒","1"
"146","口香糖","2"
"147","垃圾桶","1"
"148","水桶","1"
"149","坚果","2"
"151","织物","1"
"153","鸡肉","3"
"154","书本杂志","1"
"155","传单","1"
"156","光盘","1"
"157","磁带","2"
"159","唱片","2"
"160","充电头","1"
"161","U盘","1"
"162","塑料挂钩","1"
"163","塑料衣架","1"
"164","泡沫填充物","1"
"165","塑料文件夹","1"
"166","文件盒","1"
"167","文件套","1"
"168","画板","1"
"169","画笔","2"
"171","塑料容器","1"
"173","塑料收纳箱","1"
"174","金属盆","1"
"175","金属饭盒","1"
"176","保温杯","1"
"177","保温壶","1"
"178","金属餐具炊具","1"
"179","杠铃","1"
"180","哑铃","1"
"181","金属衣架","1"
"182","手电筒","1"
"183","晾衣杆","1"
"184","毛巾架","1"
"185","毛巾","2"
"186","园艺工具","1"
"187","螺丝","1"
"188","螺帽","1"
"189","榔头","1"
"190","电钻","1"
"191","卷尺","1"
"192","锁","1"
"193","钥匙","1"
"194","铰链","1"
"196","滑板车","1"
"197","金属相框","1"
"198","金属挂钩","1"
"199","美工刀","1"
"200","玻璃杯","1"
"201","玻璃弹珠","2"
"202","围巾","1"
"203","围脖","1"
"204","羽绒衣","1"
"205","电热水器","1"
"206","燃气热水器","1"
"207","监视器","1"
"208","微型计算机","1"
"209","平板电脑","1"
"210","门窗","1"
"211","床","1"
"213","橱柜","1"
"216","移动电源","1"
"217","废电路板","1"
"218","面膜","2"
"219","内衣裤","2"
"220","棉被","1"
"221","鞋垫","2"
"222","帽子","1"
"223","手套","1"
"224","遮光布","2"
"225","毛绒玩具","1"
"226","枕头","1"
"227","瓶塞","2"
"228","拳击手套","2"
"229","沙袋","2"
"230","帐篷","1"
"231","睡袋","2"
"232","雨衣","2"
"233","火柴","2"
"234","碱性电池","2"
"236","清洁球","2"
"237","钢丝球","2"
"238","数据线","1"
"239","扫帚","2"
"240","拖把","2"
"241","海绵","2"
"242","剃须刀","2"
"243","指南针","1"
"244","护发精油","2"
"245","自行车轮胎","1"
"246","酒精棉花","2"
"248","复印件版纸","1"
"249","充电线","1"
"250","蛋黄酥包装盒","2"
"252","梨核","3"
"253","厨余果皮","3"
"254","咸鸭蛋壳","3"
"255","矿泉水桶","1"
"256","磁盘盒","1"
"257","过期化妆品","4"
"258","密码锁","1"
"259","床单","1"
"260","酒瓶塞子","2"
"261","鲍鱼","3"
"262","鲍鱼壳","2"
"263","龟壳","2"
"264","食用油","3"
"265","橡皮筋","2"
"266","戒指","1"
"267","项链","1"
"268","黄金","1"
"269","银首饰","1"
"270","宝石","1"
"271","钻石","1"
"272","钻戒","1"
"273","袜子","1"
"275","签子","2"
"276","竹签","2"
"277","三角裤","1"
"278","内裤","2"
"279","内衣","2"
"280","丝袜","2"
"281","烟盒","2"
"282","铁盒子","1"
"283","耳钉","1"
"284","金戒指","1"
"285","银戒指","1"
"286","银项链","1"
"287","金项链","1"
"288","金手链","1"
"289","手链","1"
"290","手表","1"
"291","相机","1"
"292","照相机","1"
"293","摄像机","1"
"294","自拍杆","2"
"295","纸巾盒","1"
"296","垃圾袋","2"
"297","纸盒子","1"
"298","回形针","1"
"300","便利贴","2"
"301","铅笔","2"
"302","头发","2"
"303","指甲","2"
"305","布","1"
"306","棉花","2"
"307","蓝牙耳机","1"
"308","茶叶","3"
"309","茶包","2"
"310","鲜花包","2"
"311","香包","2"
"313","鱼骨头","3"
"314","猪骨头","2"
"315","玩具","1"
"316","杯子","1"
"317","被子","1"
"318","充电宝","1"
"319","名片","1"
"320","勺子","1"
"321","夹子","1"
"322","毛笔","2"
"323","草莓","3"
"324","树叶","3"
"325","洗衣机","1"
"327","微波炉","1"
"328","烤箱","1"
"329","猪肉","3"
"330","牛肉","3"
"332","羊肉","3"
"333","金属餐具","1"
"334","盘子","2"
"335","筷子","2"
"336","大头笔","2"
"337","玩具飞机","1"
"338","叉子","1"
"339","手镯","1"
"341","酒精棉","2"
"343","硫磺皂","2"
"344","肥皂","2"
"345","气球","2"
"347","皮球","1"
"348","篮球","1"
"349","足球","1"
"350","排球","1"
"351","吸尘器","1"
"352","扫地机","1"
"353","音响","1"
"354","充电器","1"
"355","安全帽","1"
"358","篮球架","1"
"359","篮球框","1"
"360","网球拍","1"
"361","奶瓶","1"
"362","奶粉","3"
"363","羽毛球拍","2"
"364","奶嘴","2"
"365","羽毛球","2"
"366","吸奶器","2"
"367","浴缸","2"
"368","行车记录仪","1"
"369","铁锅铲","1"
"370","电子摄像头","1"
"371","面包","3"
"372","姨妈巾","2"
"373","验孕棒","2"
"374","粉底液","2"
"375","气垫","2"
"376","剪刀","1"
"379","绞肉机","1"
"381","榨汁机","1"
"384","蚊香","2"
"386","芭比娃娃","1"
"387","布娃娃","1"
"389","充气娃娃","1"
"390","饼干","3"
"391","饮水机","1"
"392","洗发水","2"
"393","沐浴露","2"
"394","护发素","1"
"396","蛋糕","3"
"397","火锅","3"
"398","狗屎","2"
"399","平板","1"
"400","水性笔","2"
"401","刀片","1"
"402","修眉刀","2"
"403","眉笔","2"
"404","饭盒","2"
"405","青菜","3"
"406","苹果","3"
"407","香蕉","3"
"408","牛奶","3"
"409","猫屎","3"
"410","香水瓶","1"
"411","一次性杯子","2"
"412","塑料夹子","1"
"413","猪肉脯","3"
"414","密胺餐具","1"
"415","洗面奶瓶","1"
"416","旧浴缸","2"
"417","塑料锅铲","1"
"418","气垫膜","2"
"419","电蚊香液瓶","4"
"420","沐浴露瓶","1"
"421","护发素瓶","1"
"422","可乐杯","2"
"423","包裹着狗屎的纸巾","2"
"424","平板玻璃","1"
"425","常温牛奶盒","1"
"427","钢笔","2"
"428","硬币","1"
"429","人民币","1"
"430","美元","1"
"431","毛线","1"
"432","铁丝","1"
"433","铁片","1"
"434","磁铁","1"
"435","棒球","1"
"436","金属棒球棍","1"
"437","柚子","3"
"438","柚子皮","3"
"439","豆腐","3"
"440","豆腐花","3"
"441","臭豆腐","3"
"442","印泥","2"
"443","糖果","3"
"444","酱油瓶","1"
"445","废锁头","1"
"446","酒瓶","1"
"447","旧鞋子","1"
"459","卸妆油","2"
"460","卸妆水","2"
"461","卸妆棉","2"
"462","苹果核","3"
"463","玉米须","3"
"464","玉米叶","2"
"465","红薯皮","3"
"466","枣核","3"
"467","死老鼠","3"
"468","变质食品","3"
"469","毛豆壳","3"
"470","巧克力","3"
"471","中药药渣","3"
"472","过期猫粮","3"
"473","过期狗粮","3"
"474","虾壳","3"
"475","螃蟹壳","3"
"476","玻璃花瓶","1"
"477","香蕉皮","3"
"478","发霉食物","3"
"479","口红","2"
"480","粽子叶","2"
"481","汽车钥匙","2"
"482","棉衣","1"
"483","黑板","1"
"484","粉笔","2"
"485","墨水","2"
"486","炸鸡","3"
"487","打卡机","1"
"488","汉堡","3"
"489","披萨","3"
"490","菜叶子","3"
"491","有机肥料","3"
"492","电脑主板","1"
"493","电脑显示屏","1"
"494","洗脸巾","2"
"495","牙线","2"
"496","望远镜","1"
"497","水枪","1"
"498","游泳圈","1"
"499","奶茶","3"
"500","麻将","2"
"501","扑克","1"
"502","酸奶","3"
"503","白萝卜","3"
"505","胡萝卜","3"
"506","鞭炮","2"
"507","烟花炮竹","2"
"508","炮竹","2"
"509","假睫毛","2"
"510","透明胶","2"
"511","双面胶","2"
"512","502胶水","4"
"513","钉子","1"
"514","锤子","1"
"515","泡沫箱","1"
"516","雨靴","1"
"517","老鼠夹","1"
"518","婴儿车","1"
"519","平衡车","1"
"520","轮船","1"
"523","玩具火车","1"
"524","防狼喷雾","4"
"525","定妆喷雾","2"
"526","面粉","3"
"527","糯米粉","3"
"528","木薯粉","3"
"529","红薯粉","3"
"530","淀粉","3"
"531","面包糠","3"
"532","橄榄油","3"
"533","植物油","3"
"534","菜籽油","3"
"535","钢管","1"
"536","钢筋","1"
"537","混泥土","2"
"538","陶土花瓶","2"
"539","黑板擦","2"
"540","沾有墨水的纸","2"
"541","奶茶中的珍珠","3"
"542","麻将牌","2"
"543","酸奶袋","2"
"544","飞机杯","2"
"545","火车票","2"
"546","塑复钢管","1"
"547","球鞋","1"
"548","拖鞋","1"
"549","帆布鞋","1"
"550","板鞋","1"
"551","凉鞋","1"
"552","裙子","1"
"553","短裤","2"
"554","长裤","1"
"555","毛裤","1"
"556","牛仔裤","1"
"557","秋裤","1"
"558","打底裤","1"
"559","贴纸","2"
"560","书皮","2"
"561","本子","1"
"562","日记本","1"
"563","圆珠笔","2"
"564","签字笔","2"
"565","被套","1"
"566","枕套","1"
"567","枕芯","1"
"568","珊瑚绒被","1"
"570","充气床垫","1"
"572","自慰器","1"
"573","跳蛋","2"
"574","人体润滑油","2"
"575","情趣内衣","2"
"576","蜡烛","2"
"577","香薰","2"
"578","台灯","1"
"580","跑步机","1"
"581","健身器材","1"
"582","花洒","1"
"583","热水器","1"
"584","太阳能板","1"
"585","电子表","1"
"587","床头柜","1"
"588","咖啡","3"
"589","咖啡机","1"
"590","雨伞","2"
"591","太阳伞","2"
"592","天幕","1"
"593","餐椅","1"
"594","信封袋","1"
"595","鸡蛋卷","3"
"596","梅菜扣肉","3"
"597","辣椒炒肉","3"
"598","猪皮","3"
"599","跳跳糖","3"
"603","耳环","1"
"604","一次性手套","2"
"605","老鼠","3"
"606","指甲剪","1"
"607","打磨棒","2"
"608","筋膜枪","1"
"609","棒棒糖","3"
"610","辣条","3"
"611","蛋黄酥","3"
"612","香油条","3"
"613","火鸡面","3"
"614","泡面","3"
"615","自热火锅","1"
"616","自热米饭","1"
"617","自热包","2"
"618","热水袋自热包","2"
"619","热水袋","1"
"620","曲奇饼","3"
"621","水果干","3"
"622","香蕉片","3"
"623","芒果干","3"
"624","草莓干","3"
"625","芒果罐头","1"
"626","橘子罐头","1"
"627","水果罐头","1"
"628","薯片","3"
"629","薯条","3"
"630","炸鸡腿","3"
"631","炸鸡翅","3"
"632","桃酥饼干","3"
"633","鸭舌","3"
"634","鸭架","3"
"635","海带","3"
"636","海苔","3"
"637","鹌鹑蛋","3"
"638","鸽子","3"
"639","蛇","3"
"640","鱿鱼","3"
"641","猪腰子","3"
"642","牛鞭","3"
"643","牛舌","3"
"644","巧克力面包","3"
"645","螺蛳粉","3"
"646","新疆炒米粉","3"
"647","炸串","3"
"648","烤串","3"
"649","火腿肠","3"
"650","猪肉脯","3"
"651","奶枣","3"
"652","麻花","3"
"653","油条","3"
"654","包子","3"
"655","饺子","3"
"656","烧卖","3"
"657","葱油饼","3"
"658","烧饼","3"
"659","酱香饼","3"
"660","红糖馒头","3"
"661","馒头","3"
"662","肥牛卷","3"
"663","筒骨","2"
"664","排骨","3"
"665","毛肚","3"
"666","鸭肠","3"
"667","鸭血","3"
"668","鸡血","3"
"669","猪血","3"
"670","贡菜","3"
"671","生菜","3"
"672","空心菜","3"
"673","猪肚","3"
"674","香肠","3"
"675","腊肉","3"
"676","油麦菜","3"
"677","莴笋","3"
"678","冬笋","3"
"679","春笋","3"
"680","柳树叶","3"
"681","杨柳枝","3"
"683","洗凝珠","2"
"684","洗衣凝珠","2"
"686","茭白","3"
"687","香干","3"
"688","雪莲果","3"
"690","郁美净擦脸霜","2"
"691","生姜","3"
"692","大蒜","3"
"693","白醋","3"
"694","酱油","3"
"695","耗油","3"
"696","生抽","3"
"697","老抽","3"
"698","鸡精","3"
"699","味精","3"
"700","盐","3"
"701","十三香","3"
"702","麦片","3"
"703","豆角","3"
"704","唇膏","2"
"705","核桃","3"
"706","白糖","3"
"707","冰糖","3"
"708","茄子","3"
"709","豆皮","3"
"710","保湿巾","2"
"711","肥肉","3"
"712","猪油","3"
"713","葡萄柚","3"
"714","土司","3"
"715","老面法饼","3"
"716","豆奶","3"
"717","豆干","3"
"718","火龙果","3"
"719","火龙果皮","3"
"720","锅巴","3"
"721","豌豆","3"
"722","葡萄皮","3"
"723","可口可乐","2"
"724","百事可乐","3"
"725","果粒橙","3"
"726","柿子","3"
"727","柿饼","3"
"728","香薰球","2"
"729","太阳能热水器","1"
"730","太阳能热水管","1"
"731","电表盒","1"
"732","跳跳糖包装袋","2"
"734","自热火锅加热包","2"
"735","电热水袋","1"
"736","蛇皮袋","2"
"737","烤串棒","2"
"738","洗衣液包装袋","2"
"739","84消毒液瓶","2"
"740","酱油袋","2"
"741","过期的燕麦片","3"
"742","酸豆角","3"
"743","核桃肉","3"
"744","豌豆皮","3"
"745","豌豆壳","3"
"746","咖啡豆","3"
"747","咖啡杯","2"
"748","话梅","3"
"754","石榴籽","3"
"755","大蒜皮","3"
"756","紫菜","3"
"757","芋头","3"
"758","龙眼壳","3"
"759","蘑菇","3"
"760","丝瓜皮","3"
"761","牛骨头","2"
"762","羊排","3"
"763","板栗","3"
"764","肉松","3"
"765","芝士","3"
"766","蛋挞皮","3"
"767","三七花","3"
"768","藏红花","3"
"769","菊花","3"
"770","人参","3"
"771","当归","3"
"772","枸杞","3"
"773","白芷","3"
"774","天麻","3"
"775","陈皮","3"
"776","黄豆","3"
"777","葵花籽","3"
"778","梅干菜","3"
"779","腐竹","3"
"780","蜜枣","3"
"781","荔枝干","3"
"782","银耳","3"
"783","鹿茸","3"
"784","金针菇","3"
"785","平菇","3"
"786","海带片","3"
"787","萝卜干条","3"
"788","黄冰糖","3"
"789","白冰糖","3"
"790","单晶冰糖","3"
"791","多晶冰糖","3"
"792","红糖片","3"
"793","小米","3"
"794","红豆","3"
"795","菜籽","3"
"796","鱿鱼丝","3"
"797","黑加仑","3"
"798","葡萄干","3"
"799","燕窝","3"
"800","百合干","3"
"801","莲子","3"
"802","红参片","3"
"803","西洋参片","3"
"804","黄芪","3"
"805","党参","3"
"806","羊肚菌","3"
"807","虫草花","3"
"808","茶树菇","3"
"809","香菇","3"
"810","绿豆","3"
"811","赤小豆","3"
"812","糙米","3"
"813","粗粮米","3"
"814","铁丝网","1"
"815","小麦","3"
"816","鸡饲料","3"
"817","鸭饲料","3"
"818","猪饲料","3"
"819","咖啡杯杯盖","2"
"820","荔枝干壳","3"
"821","莲花白","3"
"822","M豆","3"
"823","耐克鞋","1"
"824","耐克板鞋","1"
"825","耐克篮球鞋","1"
"826","耐克网鞋","1"
"827","耐克拖鞋","1"
"828","李宁篮球鞋","1"
"829","李宁板鞋","1"
"830","李宁网鞋","1"
"831","李宁拖鞋","1"
"832","李宁跑步鞋","1"
"833","安踏篮球鞋","1"
"834","安踏网鞋","1"
"835","安踏跑步鞋","1"
"836","安踏拖鞋","1"
"837","安踏板鞋","1"
"838","稻香村鸡蛋卷","3"
"839","奶油鸡蛋卷","3"
"840","奶油","3"
"841","植物奶油","3"
"842","动物奶油","3"
"843","蛋糕胚","3"
"844","赛车遥控器","1"
"845","玩具赛车","1"
"846","桑葚","3"
"847","蔓越莓","3"
"848","黑莓","3"
"849","覆盆子","3"
"850","红树莓","3"
"851","红醋莓","3"
"852","柳丁","3"
"853","金桔","3"
"854","柠檬","3"
"855","文旦","3"
"856","莱姆","3"
"857","樱桃","3"
"858","桃","3"
"860","枣","3"
"861","橄榄","3"
"862","琵琶","3"
"863","枇杷","3"
"864","甜瓜","3"
"865","香瓜","3"
"866","菜瓜","3"
"867","山楂","3"
"868","香梨","3"
"869","雪梨","3"
"870","沙果","3"
"871","海棠","3"
"872","温柏","3"
"873","蔷薇果","3"
"874","花揪","3"
"875","杏子","3"
"876","油桃","3"
"877","蟠桃","3"
"878","青梅","3"
"879","西梅","3"
"880","白玉樱桃","3"
"881","云莓","3"
"882","沙糖桔","3"
"883","青柠","3"
"884","白兰瓜","3"
"885","金铃子","3"
"886","提子","3"
"887","醋栗","3"
"888","黑醋栗","3"
"889","红醋栗","3"
"890","槟榔","3"
"891","槟榔果","3"
"892","金橘","3"
"893","番石榴","3"
"894","羔羊肉","3"
"895","菠菜","3"
"896","青刀豆","3"
"897","腱子肉","3"
"898","肘子","3"
"899","茴香","3"
"900","八角","3"
"901","桂皮","3"
"902","草果","3"
"903","咸猪肉","3"
"904","香油","3"
"905","水萝卜","3"
"906","黄花菜","3"
"907","对虾","3"
"908","大虾","3"
"909","海参","3"
"910","扇贝","3"
"911","小贝肉","3"
"912","生蚝","3"
"913","牡蛎","3"
"914","鱼鳞","3"
"915","海蜇","3"
"916","鳖","3"
"917","苔藓","2"
"918","鲳鱼","3"
"919","虾籽","3"
"920","西瓜子","3"
"921","鲢鱼","3"
"922","银鲤鱼","3"
"923","黄花鱼","3"
"924","食用盐","3"
"925","沙拉","3"
"926","沙拉酱","3"
"927","番茄酱","3"
"928","胡椒","3"
"929","花椒","3"
"930","青花椒","3"
"931","食用色拉油","3"
"933","芝麻酱","3"
"934","芝麻油","3"
"935","花生酱","3"
"936","花生油","3"
"937","咖哩粉","3"
"938","咖哩酱","3"
"939","料酒","3"
"940","黄椒","3"
"941","肉桂","3"
"942","黄油","3"
"943","香草精","3"
"944","洋葱","3"
"945","三文治","3"
"946","披萨饼","3"
"947","松花蛋","3"
"948","咸菜","3"
"949","奶酪","3"
"950","馄饨皮","3"
"951","高筋面粉","3"
"952","大麦","3"
"953","青稞","3"
"954","高粱","3"
"955","春卷","3"
"956","鱼翅","3"
"957","黄花","3"
"958","肉馅饼","3"
"959","里脊肉","3"
"960","前腿肉","3"
"961","后腿肉","3"
"962","猪头骨","2"
"963","凉粉","3"
"964","江米","3"
"965","粟","3"
"966","肉丸子","3"
"967","腰果","3"
"968","无花果","3"
"969","榛子","3"
"970","杏仁","3"
"971","果脯","3"
"972","巴西果","3"
"973","菱角","3"
"974","白兰地","3"
"975","葡萄酒","3"
"976","汽水","3"
"977","冰棒棍","2"
"978","伏特加","3"
"979","鸡尾酒","3"
"980","豆浆","3"
"981","七喜","3"
"982","汉斯啤酒","3"
"983","浓缩果汁","3"
"985","爱尔啤酒","3"
"986","薄荷糖","3"
"987","防腐剂","2"
"988","圣代冰淇淋","3"
"989","布丁","3"
"990","馄饨面","3"
"991","刀削面","3"
"992","麻辣面","3"
"993","桃核","3"
"994","李子","3"
"996","枇杷核","3"
"997","香瓜子","3"
"998","杏子核","3"
"999","油桃肉","3"
"1000","蟠桃核","2"
"1001","西梅核","2"
"1002","牡蛎壳","2"
"1003","胡椒粉","3"
"1004","料酒瓶","1"
"1005","洋葱皮","3"
"1006","披萨饼盒","2"
"1007","粟子壳","2"
"1008","无花果壳","3"
"1009","榛子壳","2"
"1010","葡萄酒木塞","2"
"1011","冰棒棍","2"
"1012","豆浆袋","2"
"1014","麻酱面","3"
"1015","鸭肉面","3"
"1016","鳝鱼面","3"
"1017","榨菜肉丝面","3"
"1018","牡蛎细面","3"
"1019","板条","3"
"1020","米粉","3"
"1021","炒米粉","3"
"1022","鱼丸汤","3"
"1023","贡丸汤","3"
"1024","蛋花汤","3"
"1025","蛤蜊汤","3"
"1026","牡蛎汤","3"
"1027","肉羹汤","3"
"1028","鱿鱼汤","3"
"1029","花枝羹","3"
"1030","日本米酒","3"
"1031","烤肉","3"
"1032","生鱼片","3"
"1033","鱼子酱","3"
"1034","熏肉","3"
"1035","荷包蛋","3"
"1036","炸马铃薯","3"
"1037","蚕丝被","1"
"1038","大豆被","1"
"1039","羊毛被","1"
"1040","鹅绒被","1"
"1041","决明子枕头","1"
"1042","棉花枕头","1"
"1043","腐乳","3"
"1044","油豆腐","3"
"1045","烟熏豆腐","3"
"1046","水墨画","2"
"1047","显示器","1"
"1048","牛仔外套","1"
"1049","毛衣外套","1"
"1050","风衣","1"
"1051","羊羔绒大衣","1"
"1052","冰丝衣服","1"
"1053","冰丝床单","1"
"1054","冰丝睡衣","1"
"1055","液体胶","2"
"1056","豆腐乳","3"
"1057","耳塞","2"
"1058","泳镜","2"
"1059","泳帽","1"
"1060","泳衣","1"
"1061","比基尼","1"
"1062","沙滩帽","1"
"1063","沙滩裤","1"
"1064","沙滩裙","1"
"1065","沙滩鞋","1"
"1066","螺丝刀","1"
"1067","煤气灶","1"
"1068","不粘锅","1"
"1069","平底锅","1"
"1070","炒锅","1"
"1071","砂锅","2"
"1072","炖汤锅","1"
"1073","铁锅","1"
"1074","刮胡刀","1"
"1075","吹风机","1"
"1076","卷发棒","1"
"1077","氧气瓶","1"
"1078","氧气罩","1"
"1079","煤气罐","1"
"1080","头盔","2"
"1081","放大镜","1"
"1082","显微镜","1"
"1083","盖玻片","1"
"1084","锡纸","2"
"1085","吸油纸","2"
"1086","花甲粉","3"
"1087","炒牛河","3"
"1088","芝士焗饭","3"
"1089","煲仔饭","3"
"1090","蛋包饭","3"
"1091","夹心年糕","3"
"1092","芝士片","3"
"1093","芝士粉","3"
"1094","莲藕","3"
"1097","灯芯绒裤","1"
"1098","高领毛衣","1"
"1099","加绒打底衣","1"
"1100","花生","3"
"1101","芯片","1"
"1102","蛋黄派","3"
"1103","旺旺饼","3"
"1104","雪花酥","3"
"1105","桃酥","3"
"1106","发票","2"
"1107","邮票","1"
"1108","纪念卡","1"
"1109","购物卡","1"
"1110","银行卡","1"
"1111","信用卡","1"
"1112","南瓜皮","3"
"1113","算盘子","3"
"1114","忆子粄","3"
"1115","笋粄","3"
"1116","老鼠粄","3"
"1117","牛筋丸","3"
"1118","贡丸","3"
"1119","鱼丸","3"
"1120","虾饺","3"
"1121","鱼豆腐","3"
"1122","百叶","3"
"1123","芝士丸","3"
"1124","糯米丸","3"
"1125","紫薯丸","3"
"1126","鱼仔包","3"
"1127","福袋","3"
"1128","蟹排","3"
"1129","蟹棒","3"
"1130","香菇丸","3"
"1131","海胆丸","3"
"1132","宫保鸡丁","3"
"1133","鱼香肉丝","3"
"1134","茄子炒辣椒","3"
"1135","辣椒炒鸡蛋","3"
"1136","辣椒炒猪肉","3"
"1137","辣椒炒牛肉","3"
"1138","辣椒炒羊肉","3"
"1139","玉米排骨汤","3"
"1140","莲藕胡萝卜汤","3"
"1141","香菇鸡肉汤","3"
"1142","黄豆猪脚汤","3"
"1143","银耳莲子羹","3"
"1144","桃胶银耳","3"
"1145","绿豆沙","3"
"1146","红豆沙","3"
"1147","牛奶炖银耳","3"
"1148","卤猪蹄","3"
"1149","卤鸡爪","3"
"1150","卤鸡翅","3"
"1151","卤鸡尖","3"
"1152","卤豆皮","3"
"1153","卤千张","3"
"1154","卤虎皮鸡爪","3"
"1155","卤土豆","3"
"1156","卤莲藕","3"
"1157","炒土豆丝","3"
"1158","炒胡萝卜丝","3"
